num_traces,guessing_entropy,success_rate
604,150.08,0.0
605,149.56,0.0
606,148.99,0.0
607,148.87,0.0
608,149.0,0.0
609,148.33,0.0
610,149.24,0.0
611,148.99,0.0
612,148.79,0.0
613,148.19,0.0
614,147.9,0.0
615,147.48,0.0
616,147.5,0.0
617,147.47,0.0
618,147.46,0.0
619,147.76,0.0
620,147.55,0.0
621,147.13,0.0
622,147.43,0.0
623,147.52,0.0
624,147.41,0.0
625,147.04,0.0
626,147.06,0.0
627,147.54,0.0
628,147.73,0.0
629,147.37,0.0
630,146.74,0.0
631,146.58,0.0
632,147.01,0.0
633,147.47,0.0
634,147.53,0.0
635,147.69,0.0
636,147.76,0.0
637,147.68,0.0
638,147.65,0.0
639,147.41,0.0
640,147.23,0.0
641,147.89,0.0
642,148.28,0.0
643,148.34,0.0
644,148.87,0.0
645,148.55,0.0
646,148.79,0.0
647,148.72,0.0
648,149.4,0.0
649,149.24,0.0
650,148.7,0.0
651,149.22,0.0
652,149.17,0.0
653,148.74,0.0
654,149.2,0.0
655,150.34,0.0
656,150.47,0.0
657,150.39,0.0
658,150.03,0.0
659,149.86,0.0
660,149.94,0.0
661,149.61,0.0
662,149.56,0.0
663,149.79,0.0
664,149.82,0.0
665,150.39,0.0
666,150.06,0.0
667,149.93,0.0
668,150.09,0.0
669,149.51,0.0
670,150.52,0.0
671,150.55,0.0
672,151.23,0.0
673,151.69,0.0
674,151.69,0.0
675,151.44,0.0
676,151.08,0.0
677,151.21,0.0
678,150.81,0.0
679,150.6,0.0
680,151.26,0.0
681,151.86,0.0
682,151.81,0.0
683,152.19,0.0
684,152.29,0.0
685,152.33,0.0
686,152.41,0.0
687,151.81,0.0
688,152.0,0.0
689,151.97,0.0
690,152.38,0.0
691,152.08,0.0
692,152.31,0.0
693,152.66,0.0
694,152.84,0.0
695,152.46,0.0
696,152.54,0.0
697,152.54,0.0
698,152.79,0.0
699,153.44,0.0
700,153.16,0.0
701,152.97,0.0
702,152.91,0.0
703,153.11,0.0
704,153.22,0.0
705,153.41,0.0
706,153.73,0.0
707,153.33,0.0
708,153.48,0.0
709,153.56,0.0
710,153.8,0.0
711,153.95,0.0
712,153.78,0.0
713,153.8,0.0
714,154.58,0.0
715,154.38,0.0
716,154.36,0.0
717,154.2,0.0
718,154.14,0.0
719,154.77,0.0
720,154.86,0.0
721,154.91,0.0
722,154.75,0.0
723,154.12,0.0
724,154.09,0.0
725,153.85,0.0
726,153.42,0.0
727,153.69,0.0
728,153.63,0.0
729,153.89,0.0
730,154.2,0.0
731,154.49,0.0
732,154.69,0.0
733,154.53,0.0
734,154.38,0.0
735,154.75,0.0
736,155.12,0.0
737,155.71,0.0
738,155.33,0.0
739,155.17,0.0
740,156.0,0.0
741,155.66,0.0
742,155.26,0.0
743,155.59,0.0
744,155.01,0.0
745,155.62,0.0
746,155.7,0.0
747,155.89,0.0
748,156.21,0.0
749,156.23,0.0
750,156.83,0.0
751,156.82,0.0
752,157.31,0.0
753,157.4,0.0
754,157.81,0.0
755,158.35,0.0
756,158.63,0.0
757,158.34,0.0
758,158.41,0.0
759,158.28,0.0
760,158.05,0.0
761,158.46,0.0
762,158.63,0.0
763,158.85,0.0
764,158.88,0.0
765,158.97,0.0
766,158.85,0.0
767,159.17,0.0
768,159.38,0.0
769,159.19,0.0
770,159.09,0.0
771,159.46,0.0
772,159.37,0.0
773,159.6,0.0
774,159.8,0.0
775,159.51,0.0
776,159.01,0.0
777,159.07,0.0
778,159.19,0.0
779,159.03,0.0
780,158.59,0.0
781,159.09,0.0
782,159.25,0.0
783,158.98,0.0
784,158.89,0.0
785,158.98,0.0
786,158.79,0.0
787,158.5,0.0
788,158.41,0.0
789,158.17,0.0
790,158.53,0.0
791,158.74,0.0
792,159.15,0.0
793,159.1,0.0
794,159.7,0.0
795,159.57,0.0
796,159.57,0.0
797,159.5,0.0
798,159.4,0.0
799,159.24,0.0
800,159.05,0.0
801,158.9,0.0
802,159.5,0.0
803,159.73,0.0
804,159.2,0.0
805,158.94,0.0
806,159.37,0.0
807,160.05,0.0
808,160.35,0.0
809,159.82,0.0
810,159.51,0.0
811,159.93,0.0
812,159.6,0.0
813,160.0,0.0
814,160.22,0.0
815,160.16,0.0
816,160.14,0.0
817,159.64,0.0
818,159.18,0.0
819,158.53,0.0
820,158.41,0.0
821,158.87,0.0
822,158.94,0.0
823,158.99,0.0
824,158.85,0.0
825,158.71,0.0
826,158.22,0.0
827,158.09,0.0
828,158.34,0.0
829,158.35,0.0
830,158.66,0.0
831,158.69,0.0
832,159.14,0.0
833,158.63,0.0
834,158.54,0.0
835,157.88,0.0
836,158.33,0.0
837,158.33,0.0
838,157.93,0.0
839,158.27,0.0
840,158.16,0.0
841,158.21,0.0
842,158.8,0.0
843,158.77,0.0
844,158.91,0.0
845,159.06,0.0
846,159.08,0.0
847,159.13,0.0
848,159.18,0.0
849,159.38,0.0
850,159.68,0.0
851,159.63,0.0
852,159.69,0.0
853,159.54,0.0
854,159.43,0.0
855,159.77,0.0
856,159.62,0.0
857,159.67,0.0
858,159.28,0.0
859,159.05,0.0
860,158.9,0.0
861,159.42,0.0
862,159.36,0.0
863,159.45,0.0
864,159.73,0.0
865,159.61,0.0
866,160.21,0.0
867,160.18,0.0
868,159.95,0.0
869,159.96,0.0
870,159.59,0.0
871,159.61,0.0
872,159.3,0.0
873,158.93,0.0
874,159.45,0.0
875,160.14,0.0
876,159.88,0.0
877,159.79,0.0
878,159.69,0.0
879,159.43,0.0
880,159.25,0.0
881,159.09,0.0
882,159.74,0.0
883,159.62,0.0
884,159.51,0.0
885,159.16,0.0
886,159.52,0.0
887,159.26,0.0
888,159.29,0.0
889,159.66,0.0
890,159.58,0.0
891,159.86,0.0
892,159.84,0.0
893,159.51,0.0
894,159.42,0.0
895,159.64,0.0
896,159.49,0.0
897,159.55,0.0
898,159.34,0.0
899,159.34,0.0
900,159.28,0.0
901,159.06,0.0
902,159.23,0.0
903,159.54,0.0
904,159.77,0.0
905,159.48,0.0
906,159.89,0.0
907,159.87,0.0
908,160.1,0.0
909,159.67,0.0
910,159.71,0.0
911,159.65,0.0
912,158.82,0.0
913,158.99,0.0
914,159.07,0.0
915,158.69,0.0
916,158.42,0.0
917,158.58,0.0
918,158.45,0.0
919,158.63,0.0
920,158.93,0.0
921,158.74,0.0
922,159.29,0.0
923,159.47,0.0
924,159.41,0.0
925,159.59,0.0
926,159.73,0.0
927,160.02,0.0
928,160.34,0.0
929,160.41,0.0
930,160.12,0.0
931,160.16,0.0
932,160.46,0.0
933,160.48,0.0
934,160.54,0.0
935,160.94,0.0
936,160.9,0.0
937,161.19,0.0
938,161.85,0.0
939,161.25,0.0
940,161.52,0.0
941,161.67,0.0
942,161.66,0.0
943,161.93,0.0
944,161.68,0.0
945,161.26,0.0
946,161.42,0.0
947,161.24,0.0
948,161.56,0.0
949,161.55,0.0
950,161.86,0.0
951,161.7,0.0
952,161.4,0.0
953,161.77,0.0
954,162.0,0.0
955,162.39,0.0
956,162.36,0.0
957,162.4,0.0
958,162.58,0.0
959,162.73,0.0
960,162.96,0.0
961,162.82,0.0
962,163.17,0.0
963,163.49,0.0
964,163.35,0.0
965,163.19,0.0
966,162.96,0.0
967,162.76,0.0
968,162.78,0.0
969,162.9,0.0
970,162.88,0.0
971,163.16,0.0
972,162.93,0.0
973,163.55,0.0
974,163.75,0.0
975,163.61,0.0
976,163.14,0.0
977,163.51,0.0
978,163.66,0.0
979,163.26,0.0
980,163.38,0.0
981,163.39,0.0
982,163.33,0.0
983,163.31,0.0
984,163.8,0.0
985,164.2,0.0
986,164.34,0.0
987,164.19,0.0
988,164.46,0.0
989,164.47,0.0
990,164.36,0.0
991,164.27,0.0
992,163.99,0.0
993,164.08,0.0
994,164.3,0.0
995,164.03,0.0
996,163.96,0.0
997,163.93,0.0
998,163.85,0.0
999,163.68,0.0
1000,163.54,0.0
1001,163.41,0.0
1002,163.01,0.0
1003,163.38,0.0
1004,162.91,0.0
1005,162.81,0.0
1006,163.23,0.0
1007,163.15,0.0
1008,162.74,0.0
1009,162.3,0.0
1010,162.36,0.0
1011,162.81,0.0
1012,162.96,0.0
1013,163.6,0.0
1014,163.01,0.0
1015,162.97,0.0
1016,163.25,0.0
1017,163.58,0.0
1018,164.27,0.0
1019,164.71,0.0
1020,164.85,0.0
1021,165.18,0.0
1022,165.2,0.0
1023,165.63,0.0
1024,165.78,0.0
1025,165.62,0.0
1026,165.37,0.0
1027,165.29,0.0
1028,165.43,0.0
1029,165.14,0.0
1030,164.79,0.0
1031,164.92,0.0
1032,165.1,0.0
1033,165.23,0.0
1034,165.06,0.0
1035,164.84,0.0
1036,165.0,0.0
1037,164.81,0.0
1038,164.82,0.0
1039,165.07,0.0
1040,165.67,0.0
1041,165.25,0.0
1042,165.24,0.0
1043,165.1,0.0
1044,164.77,0.0
1045,164.6,0.0
1046,164.51,0.0
1047,164.81,0.0
1048,164.45,0.0
1049,165.03,0.0
1050,164.83,0.0
1051,164.52,0.0
1052,164.26,0.0
1053,165.02,0.0
1054,164.38,0.0
1055,164.64,0.0
1056,164.47,0.0
1057,164.39,0.0
1058,164.35,0.0
1059,164.4,0.0
1060,164.83,0.0
1061,164.35,0.0
1062,165.0,0.0
1063,165.02,0.0
1064,165.34,0.0
1065,165.13,0.0
1066,164.94,0.0
1067,164.58,0.0
1068,164.42,0.0
1069,164.4,0.0
1070,164.43,0.0
1071,164.23,0.0
1072,164.38,0.0
1073,164.45,0.0
1074,164.14,0.0
1075,164.04,0.0
1076,163.89,0.0
1077,163.78,0.0
1078,163.62,0.0
1079,163.9,0.0
1080,163.95,0.0
1081,164.44,0.0
1082,164.49,0.0
1083,164.28,0.0
1084,164.54,0.0
1085,164.2,0.0
1086,164.11,0.0
1087,164.03,0.0
1088,163.81,0.0
1089,163.72,0.0
1090,163.8,0.0
1091,163.9,0.0
1092,163.76,0.0
1093,163.47,0.0
1094,163.47,0.0
1095,162.95,0.0
1096,163.15,0.0
1097,163.31,0.0
1098,163.15,0.0
1099,163.4,0.0
1100,163.42,0.0
1101,163.37,0.0
1102,163.43,0.0
1103,163.31,0.0
1104,163.27,0.0
1105,163.27,0.0
1106,163.4,0.0
1107,162.93,0.0
1108,163.1,0.0
1109,163.35,0.0
1110,163.11,0.0
1111,162.8,0.0
1112,162.7,0.0
1113,162.99,0.0
1114,162.93,0.0
1115,162.75,0.0
1116,162.19,0.0
1117,162.1,0.0
1118,162.05,0.0
1119,162.28,0.0
1120,161.91,0.0
1121,162.47,0.0
1122,162.29,0.0
